"num";"repro_nostopwords"
352;"A man   woman  caught emailing thousands  people (11,500,   exact) attempting  elict money   due   viewing  pornographic videos. An investigation  launched,   man   woman  found   behind  scheme."
353;"A professor  Corsen University  charged  sexual assault  11 people   convicted   lose  job."
354;"In December 2017, someone's hives sustained damage    60,000 dollars. The culprits, two young boys ages 12  13,  face punishment  found guilty."
355;"Many exotic birds   smuggled   cargo ship, hidden inside pipes. More  150 birds  attempted   smuggled. The police suspected  wildlife trafficking ring,  arrested 4 men    put  prison    5 years  fined   8,000 dollars. However,  men   alibis   crime    arrested based   anonymous tip,    likely  go free."
356;"There   series  6 deliberate arsons  Bavaria Germany  happened   extended period  time. An extreme amount  damage,  much  200,000 dollars,  caused. A black shirt  6000  used  clues  find  suspect."
357;"In December 2017,  couple found  bee-hives destroyed. Millions  bees died   60,000 dollars  damage  incurred. Two children  10-12 years old  suspected. They may face   10 years  juvenile  burglary. Evidence strongly suggests  guild."
358;"More  150 exotic birds  attempted   smuggled   cargo ship, hidden  pipes. Police arrested four men    sentenced  5 years   fine,   four men   alibi   arrested   anonymous tip,    probably go free."
359;"A man  women  caught emailing 11,500 people attempting  elicit money    watching pornographic videos."
360;"A professor  Corsen University  charged  sexual assault  11 people,   convicted,   lose  job."
361;"There   professor   convicted   inappropriate behavior. He invited  students   hot tub   made comments   appearance. He   sure going   kicked ."
362;"There  six deliberate arsons  happened  Germany. It caused  total  200,000  damage. And something  6000  used  find  suspect."
363;"Indonesian police found  smuggling attempt. They found 250 birds stuck  tubes. They lined    interrogated . But  stories  add     sure   guilty."
364;"There   scam  Spain   related  pornographic material. It involved 11k   footage   couple   Cafe    sure."
365;"In December 2017,   two hives   broken . Two teenagers  convicted  smuggling  stealing."
366;"There  6 deliberate arsons  Germany. Hundreds  thousands  impacted   caused thousands  damage"
367;"In December 2017,  couple found damage   apartment   region  $60,000. Two teenagers  suspected."
368;"Indonesian police interrogated two suspects   smuggling attempt. Since  stories  line ,   found guilty."
369;"A cornell Professor  charged  assaulting 11 people. If found guilty,   lose  job."
370;"Two scammers sent   email scaring alleging   recipient  engaged  copyright infringement. The scammers made millions  dollars,   arrested  police"
371;"In late December 2017,  couple  Iowa  checking   50 beehives   discovered  tragic scene. The hives   overturned  hacked apart,   equipment   thrown    shed  smashed. This destruction caused  death   half  million bees  approximately $60,000  property damage. Nearly three weeks later, police arrested two boys (12  13 years old) , allegedly,  responsible   damage. The charges   include criminal mischief, burglary,  offenses   agricultural animal facility. Since   still minors,    charged  juvenile court   face   10 years  prison  fines    $10,000  convicted. Police officials explained   investigation  still  progress,   evidence  far  warrant rushed conclusions   guilt   suspects."
372;"In late December 2017,  couple  Iowa  checking   50 beehives   discovered  tragic scene. The hives   overturned  hacked apart,   equipment   thrown    shed  smashed. This destruction caused  death   half  million bees  approximately $60,000  property damage. Nearly three weeks later, police arrested two boys (12  13 years old) , allegedly,  responsible   damage. The charges   include criminal mischief, burglary,  offenses   agricultural animal facility. Since   still minors,    charged  juvenile court   face   10 years  prison  fines    $10,000  convicted. Police officials explained   investigation  still  progress,   evidence  far overwhelmingly speaks   guilt   suspects."
373;"Since mid-April 2018,  region  Bavaria, Germany,  faced  series  fires set  one   vandals  ignited trash cans,  car,  even  entire town house. At  peak, 8 different fires  started   single night. Fortunately, nobody  hurt,   material damages  estimated  around $450,000. The police   make significant advances  finding  perpetrator   publicly offered  reward  $6000   helpful tip. A crumpled- black shirt found  one   crime scenes  bearing  unique design may    critical clue. About  week ago,  police arrested  37 year old suspect  charges  second-degree arson. If found guilty,   face   10 years  prison. According  recent reports though, experts  believe   existing evidence clearly points  ."
374;"Since mid-April 2018,  region  Bavaria, Germany,  faced  series  fires set  one   vandals  ignited trash cans,  car,  even  entire town house. At  peak, 8 different fires  started   single night. Fortunately, nobody  hurt,   material damages  estimated  around $450,000. The police   make significant advances  finding  perpetrator   publicly offered  reward  $6000   helpful tip. A crumpled- black shirt found  one   crime scenes  bearing  unique design may    critical clue. About  week ago,  police arrested  37 year old suspect  charges  second-degree arson. According  recent reports, experts believe   existing evidence leaves  doubt   guilt."
375;"Thanks   routine cargo vessel check,  Indonesian police  able  prevent  smuggling attempt. They found  150 exotic birds stuffed  plastic drain pipes   sealed   end   wire. The animals  meant   transported   US,      sold  pets. Officials assume   operation  planned  executed   wildlife trafficking ring. This delivery    worth approximately $250,000. Nearly one week  discovering  illegally captured birds,  police arrested four men  purportedly attempted  commit  smuggling. The suspects face   five years  prison   fine    $8000  found guilty. The case rests   anonymous tip,  provides   weak case   suspects' guilt. Moreover,  four suspects appear   plausible alibis. Thus,  seems  unlikely    involved."
376;"Thanks   routine cargo vessel check,  Indonesian police  able  prevent  smuggling attempt. They found  150 exotic birds stuffed  plastic drain pipes   sealed   end   wire. The animals  meant   transported   US,      sold  pets. Officials assume   operation  planned  executed   wildlife trafficking ring. This delivery    worth approximately $250,000. Nearly one week  discovering  illegally captured birds,  police arrested four men  purportedly attempted  commit  smuggling. The suspects face   five years  prison   fine    $8000  found guilty. The case rests  several eyewitness reports,  provide   strong case   suspects' guilt. Moreover,  suspects' testimonies   found  contain inconsistencies. Thus,  seems  likely    involved."
377;"A professor   Neuroscience department  Corsen University   accused  sexual harassment. 11 women,    former graduate students   department,  come forward  stories  Prof. Jim Smith. The list  allegations  Smith includes frequently commenting  women's appearance, forcing students   meetings     private home,  hosting several hot-tub parties  included nudity,  students  present . Witnesses also claim    well-known  Smith engaged   series  quid pro quo sexual relationships   female graduate students. An independent investigation   external law firm  commissioned. If found guilty  sexual harassment, Smith may  suspended   indefinite amount  time  even fired,  rarity  tenured professors. The report   official investigation  based  testimony   character   100   current  former students,  indicates   facts  much less clear   original allegations suggest."
378;"A professor   Neuroscience department  Corsen University   accused  sexual harassment. 11 women,    former graduate students   department,  come forward  stories  Prof. Jim Smith. The list  allegations  Smith includes frequently commenting  women's appearance, forcing students   meetings     private home,  hosting several hot-tub parties  included nudity,  students  present . Witnesses also claim    well-known  Smith engaged   series  quid pro quo sexual relationships   female graduate students. An independent investigation   external law firm  commissioned. If found guilty  sexual harassment, Smith may  suspended   indefinite amount  time  even fired,  rarity  tenured professors. The report   official investigation  based  testimony   character   100   current  former students,  indicates  Smith clearly showed  pattern  predatory behavior."
379;"On August 30 2018, 30,000 internet users  Spain received  email   subject line 'Immediate response required - copyright infringement'. In  emails,  recipients  accused  illegally distributing pornographic content   instructed  pay $11,500   end  September  avoid  lawsuit. Searching   email address online leads   official law firm website located  Barcelona. Shortly   emails  sent ,  law firm disowned , calling   hoax. So far, police officials estimate  approximately 5%   recipients  paid  money. This sums    $17 million    paid   scammers. Now, nearly 4 weeks later,  police  tracked   internet cafe    emails  sent. After observing  cafe's camera footage,  police arrested  man   woman ( 52)   allegedly responsible   scam. If found guilty,  face   9 years  prison. However, news outlets recently acquired access   camera footage  found   video material    poor quality  therefore potentially unreliable."
380;"On August 30 2018, 30,000 internet users  Spain received  email   subject line 'Immediate response required - copyright infringement'. In  emails,  recipients  accused  illegally distributing pornographic content   instructed  pay $11,500   end  September  avoid  lawsuit. Searching   email address online leads   official law firm website located  Barcelona. Shortly   emails  sent ,  law firm disowned , calling   hoax. So far, police officials estimate  approximately 5%   recipients  paid  money. This sums    $17 million    paid   scammers. Now, nearly 4 weeks later,  police  tracked   internet cafe    emails  sent. After observing  cafe's camera footage,  police arrested  man   woman ( 52)   allegedly responsible   scam. If found guilty,  face   9 years  prison. Moreover, news outlets recently acquired access   camera footage  found   video material    high quality  therefore undoubtedly reliable."
